image_name,question,answer,question_type
synpic29265.jpg,Are the lungs normal appearing?,No,ABN
synpic29265.jpg,Is there evidence of a pneumothorax,No,PRES
synpic29265.jpg,Is this a MRI of the chest?,no,MODALITY
synpic28602.jpg,Is the trachea midline?,yes,PRES
synpic28602.jpg,Is there evidence of an aortic aneurysm?,No,PRES
synpic28602.jpg,Is there blunting of the costovertebral angles?,No,PRES
synpic42202.jpg,Is there a pneumothorax?,no,PRES
synpic29265.jpg,Is there a fracture?,no,PRES
synpic28602.jpg,Is this an anterior posterior image?,no,PLANE
synpic29265.jpg,Is there air under the diaphragm?,No,PRES
synpic42202.jpg,Is this an anterior-posterior image,no,PLANE
synpic21776.jpg,Are there >12 of ribs? ,Yes,COUNT
synpic21776.jpg,Is/Are the lungs normal size?,Yes,SIZE
synpic25821.jpg,Is/Are there a rib fracture?,No,PRES
synpic25821.jpg,Is/Are there fracturing in the patient's ribs?,No,PRES
synpic25821.jpg,Is/Are the lung parenchyma abnormal?,No,ABN
synpic25821.jpg,Is/Are the lung parenchyma abnormal?,No,ABN
synpic21776.jpg,was this taken with good x ray penetration,yes,MODALITY
synpic25821.jpg,Are there >8 ribs shown in this image?,Yes,COUNT
synpic25821.jpg,Are there >8 of the ribs?,Yes,COUNT
synpic25821.jpg,Are there at least 8 ribs visible for good inspiratory effort?,Yes,COUNT
synpic25821.jpg,Are there at least 8 of the ribs?,Yes,COUNT
synpic21776.jpg,was this taken in PA position?,yes,PLANE
synpic42245.jpg,Are the hilar soft tissue densities symmetric?,no,ATTRIB
synpic42245.jpg,Is/Are there symmetry in the patient's hilums?,no,ATTRIB
synpic42245.jpg,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,no,SIZE
synpic42245.jpg,Is/Are there equivalent size tissues densities in the patient's hilums?,no,SIZE
synpic16174.jpg,Is the descending aortic silhouette of normal contour?,Yes,ATTRIB
synpic16174.jpg,Is the descending aortic silhouette of normal contour and size?,Yes,"ATTRIB, SIZE"
synpic16174.jpg,Is there tortuosity of the descending aorta?,Yes,PRES
synpic16174.jpg,Is/Are there tortuosity in the patient's aorta?,Yes,PRES
synpic16174.jpg,Is the descending aortic silhouette of normal size?,Yes,PRES
synpic16174.jpg,Is/Are there tortuosity in the patient's aorta?,Yes,PRES
synpic16174.jpg,Is the descending aortic silhouette of normal size?,Yes,SIZE
synpic40272.jpg,was this chest x ray taken in PA format?,yes,PLANE
synpic21776.jpg,Are lung opacities noted?,No,PRES
synpic21776.jpg,Is/Are there nodules in the patient's lung?,No,PRES
synpic21776.jpg,is there evidence of intraparenchymal lung nodules?,No,PRES
synpic21776.jpg,Is/Are there nodules in the patient's lung?,No,PRES
synpic16174.jpg,Is/Are the heart size normal?,Yes,SIZE
synpic16174.jpg,Is/Are the heart size normal?,Yes,SIZE
synpic52767.jpg,Is there evidence of a right apical pneumothorax on this chest x-ray?,Yes,PRES
synpic52767.jpg,Is/Are there a pneumothorax in the patient's right lung?,Yes,PRES
