image_name,question,question_type,answer
synpic29265.jpg,Are the lungs normal appearing?,ABN,No
synpic29265.jpg,Is there evidence of a pneumothorax,PRES,No
synpic29265.jpg,Is this a MRI of the chest?,MODALITY,no
synpic28602.jpg,Is the trachea midline?,PRES,yes
synpic28602.jpg,Is there evidence of an aortic aneurysm?,PRES,No
synpic28602.jpg,Is there blunting of the costovertebral angles?,PRES,No
synpic42202.jpg,Is there a pneumothorax?,PRES,no
synpic29265.jpg,Is there a fracture?,PRES,no
synpic28602.jpg,Is this an anterior posterior image?,PLANE,no
synpic29265.jpg,Is there air under the diaphragm?,PRES,No
synpic42202.jpg,Is this an anterior-posterior image,PLANE,no
synpic21776.jpg,Are there >12 of ribs? ,COUNT,Yes
synpic21776.jpg,Is/Are the lungs normal size?,SIZE,Yes
synpic25821.jpg,Is/Are there a rib fracture?,PRES,No
synpic25821.jpg,Is/Are there fracturing in the patient's ribs?,PRES,No
synpic25821.jpg,Is/Are the lung parenchyma abnormal?,ABN,No
synpic25821.jpg,Is/Are the lung parenchyma abnormal?,ABN,No
synpic21776.jpg,was this taken with good x ray penetration,MODALITY,yes
synpic25821.jpg,Are there >8 ribs shown in this image?,COUNT,Yes
synpic25821.jpg,Are there >8 of the ribs?,COUNT,Yes
synpic25821.jpg,Are there at least 8 ribs visible for good inspiratory effort?,COUNT,Yes
synpic25821.jpg,Are there at least 8 of the ribs?,COUNT,Yes
synpic21776.jpg,was this taken in PA position?,PLANE,yes
synpic42245.jpg,Are the hilar soft tissue densities symmetric?,ATTRIB,no
synpic42245.jpg,Is/Are there symmetry in the patient's hilums?,ATTRIB,no
synpic42245.jpg,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,SIZE,no
synpic42245.jpg,Is/Are there equivalent size tissues densities in the patient's hilums?,SIZE,no
synpic16174.jpg,Is the descending aortic silhouette of normal contour?,ATTRIB,Yes
synpic16174.jpg,Is the descending aortic silhouette of normal contour and size?,"ATTRIB, SIZE",Yes
synpic16174.jpg,Is there tortuosity of the descending aorta?,PRES,Yes
synpic16174.jpg,Is/Are there tortuosity in the patient's aorta?,PRES,Yes
synpic16174.jpg,Is the descending aortic silhouette of normal size?,PRES,Yes
synpic16174.jpg,Is/Are there tortuosity in the patient's aorta?,PRES,Yes
synpic16174.jpg,Is the descending aortic silhouette of normal size?,SIZE,Yes
synpic40272.jpg,was this chest x ray taken in PA format?,PLANE,yes
synpic21776.jpg,Are lung opacities noted?,PRES,No
synpic21776.jpg,Is/Are there nodules in the patient's lung?,PRES,No
synpic21776.jpg,is there evidence of intraparenchymal lung nodules?,PRES,No
synpic21776.jpg,Is/Are there nodules in the patient's lung?,PRES,No
synpic16174.jpg,Is/Are the heart size normal?,SIZE,Yes
synpic16174.jpg,Is/Are the heart size normal?,SIZE,Yes
synpic52767.jpg,Is there evidence of a right apical pneumothorax on this chest x-ray?,PRES,Yes
synpic52767.jpg,Is/Are there a pneumothorax in the patient's right lung?,PRES,Yes
synpic52767.jpg,Is a pneumothorax present near the right lung field?,PRES,Yes
synpic52767.jpg,Is/Are there a pneumothorax in the patient's right lung?,PRES,Yes
synpic21776.jpg,Is/Are the heart narrowed?,SIZE,Yes
synpic21776.jpg,Is/Are the heart narrowed?,SIZE,Yes
synpic42245.jpg,Are there any fractures in any of the ribs?,PRES,No
synpic42245.jpg,Is/Are there fractures in the patient's ribs?,PRES,No
synpic42245.jpg,Are any of the patient's ribs fractured?,PRES,No
synpic42245.jpg,Is/Are there fractures in the patient's ribs?,PRES,No
synpic40272.jpg,Is there pulmonary edema,PRES,no
synpic40272.jpg,Is/Are the pulmonary vessels enlarged?,SIZE,no
synpic52767.jpg,Is/Are the cardiac contour normal?,ATTRIB,Yes
synpic40272.jpg,is it difficult to delineate the left costophrenic angle?,PRES,yes
synpic40272.jpg,Is/Are there blunting in the patient's left costophrenic angle?,PRES,yes
synpic40272.jpg,Is there blunting of the left costophrenic angle?,PRES,yes
synpic40272.jpg,Is/Are there blunting in the patient's left costophrenic angle?,PRES,yes
synpic33422.jpg,Is/Are there pneumothorax in the patient's left lung field?,PRES,Yes
synpic33422.jpg,Is/Are there pneumothorax in the patient's left lung field?,PRES,Yes
synpic33422.jpg,Is/Are there midline shift?,PRES,No
synpic33422.jpg,Is/Are there midline shift?,PRES,No
synpic40272.jpg,Is/Are the left lung radioopaque?,COLOR,yes
synpic40272.jpg,Is/Are the left lung radioopaque?,COLOR,yes
synpic42245.jpg,Are the costophrenic angles sharp?,PRES,yes
synpic42245.jpg,Is/Are there no blunting in the patient's costophrenic angles?,PRES,yes
synpic42245.jpg,Is there no evidence of blunting of the costophrenic angles?,PRES,yes
synpic42245.jpg,Is/Are there no blunting in the patient's costophrenic angles?,PRES,yes
synpic21776.jpg,is the lung parenchyma well visualized?,PRES,yes
synpic40272.jpg,are the heart and lungs displayed well in this film,ORGAN,yes
synpic31400.jpg,Any abnormal findings in the lower lung fields?,ABN,no
synpic31400.jpg,Is/Are there abnormalities in the patient's lower lung?,ABN,no
synpic31400.jpg,Are the lower lung fields normal?,ABN,yes
synpic31400.jpg,Is/Are there abnormalities in the patient's lower lung?,ABN,yes
